country_code,country_name,year,Central govt debt (% of GDP),Current account (% of GDP),Expense (% of GDP),Exports (% of GDP),External debt stocks (% of GNI),FDI net inflows (% of GDP),GDP (current USD),GDP growth (annual %),Imports (% of GDP),"Inflation (CPI, annual %)",Official exchange rate (LCU per USD),Real interest rate (%),Revenue excl grants (% of GDP),"Total reserves (includes gold, USD)",Unemployment (% of labor force),GDP_trillion_usd,trade_openness_pct,fiscal_balance_pct_gdp
ID,Indonesia,2022,,1.00182875104005,,24.5029116862832,30.8527352858338,1.87264100861425,1319101183380.15,5.30719722664799,20.9617585096621,4.20946463714784,14849.8539362105,-0.957376340510305,,137222356128.227,3.462,1.3191011833801498,45.4646701959453,
ID,Indonesia,2023,,-0.148899338519633,,21.7538472039177,29.935375315129,1.57116694173474,1371169301563.62,5.04902331835997,19.5824396668474,3.66938654859761,15236.8846620506,7.28506359409343,,146358992701.848,3.308,1.3711693015636202,41.3362868707651,
ID,Indonesia,2024,,-0.624744460485029,,22.18331286866,30.9729980083421,1.73651146010755,1396300098190.97,5.03034469419038,20.389334433174,2.18151273615189,15855.4482866711,7.83418010229542,,155708275547.574,3.301,1.39630009819097,42.572647301833996,
IN,India,2018,46.5224986659322,-2.42697545810527,15.6631319151388,19.9278285988562,19.4905310721105,1.55821483801456,2702929641648.74,6.45385134497769,23.6891407335327,3.9388264669163,68.3894670935422,5.36166638954869,13.1885329486481,399167159226.682,7.652,2.70292964164874,43.6169693323889,-2.4745989664906993
IN,India,2019,,-1.04961203910072,,18.664264897257,19.9766366353145,1.78482633957161,2835606256558.19,3.87143694070356,21.2411386333872,3.72950573539129,70.4203405359551,6.89487542729716,,463469902152.507,6.51,2.83560625655819,39.9054035306442,
IN,India,2020,,1.22362111042791,,18.6824769296756,21.4094740100862,2.40620322673636,2674851578587.27,-5.77772470686801,19.0756283996012,6.62343677628535,74.0995668836052,4.13599957786408,,590227359928.896,7.859,2.67485157858727,37.7581053292768,
IN,India,2021,,-1.05524166809383,,21.3991583305515,19.5524130311129,1.41217101040888,3167270623260.47,9.68959249192875,24.0239304534931,5.13140747176369,73.9180128154351,0.316945144211866,,638484779930.836,6.38,3.16727062326047,45.4230887840446,
IN,India,2022,,-2.36247481487452,13.3335178491336,23.2515412045298,18.6518069060743,1.49248825904,3346107287730.93,7.60936497768895,26.8237289453584,6.69903414079852,78.6044905829916,2.52131544946588,9.11011784382656,567298153917.14,4.822,3.34610728773093,50.0752701498882,-4.22340000530704
IN,India,2023,,-0.878262847208682,,21.4486977833541,18.0442974446192,0.771919134264091,3638489096033.86,9.19075493028345,23.544144504402,5.64914318907925,82.5992764460784,,,627792750126.715,4.172,3.63848909603386,44.9928422877561,
IN,India,2024,,-0.82224320865487,,21.1618460520863,18.5795533694083,0.694133152879562,3909891533858.08,6.49476552383821,23.4874474548813,4.95303550973656,83.669281580941,,,643042560625.541,4.173,3.90989153385808,44.649293506967595,
IT,Italy,2018,,2.57144669559437,42.5027354888588,30.8135072735991,,2.10769610409512,2099435266458.67,0.826646712344115,28.4614762392164,1.13748763600391,0.846772667108111,1.5923708555414,39.2904064273807,152361936421.553,10.538,2.09943526645867,59.274983512815496,-3.212329061478094
IT,Italy,2019,,3.23388196417885,42.2948307679073,30.9498739181942,,1.77066894209208,2019606796583.53,0.429162533780342,27.7443163412796,0.611246943765304,0.893276257067409,1.53937572556579,40.0859879467878,175397954131.108,9.884,2.01960679658353,58.6941902594738,-2.2088428211194966
IT,Italy,2020,,3.9369545603398,50.3444915572159,28.7258551870199,,-0.893869914296462,1907481094079.23,-8.86822122185345,25.2136287172564,-0.13770757391651,0.875506396987998,0.739269290959428,40.5950400712713,210687330553.17,9.192,1.90748109407923,53.9394839042763,-9.749451485944604
IT,Italy,2021,,2.03966459401318,49.6527178126937,31.1716088630092,,1.20474315612308,2179207773596.09,8.93106210800055,29.1303687572707,1.87378325762481,0.84549413889045,0.733185661773557,40.3348719250734,227478327159.257,9.497,2.17920777359609,60.3019776202799,-9.317845887620301
IT,Italy,2022,,-1.82962143546248,48.3702644238252,35.0991400412578,,2.94181405797187,2104067630319.46,4.82117669913565,36.9173622620119,8.20128991161718,0.949623753156941,-1.15112854557422,39.6076699114937,224580577612.139,8.069,2.10406763031946,72.0165023032697,-8.762594512331496
IT,Italy,2023,,0.224243443277791,47.2805094852674,33.3315893476608,,1.8137542726883,2316727999333.18,0.975694840127005,31.7755885286565,5.62219442195901,0.924839558470698,-1.22864122337094,39.0735244912762,247396384253.983,7.627,2.31672799933318,65.10717787631731,-8.206984993991199
IT,Italy,2024,,1.08253400174467,,32.505041554007,,1.13001784266315,2380825077243.59,0.692676948440536,30.3187269579455,0.982373023061417,0.923889546117607,3.23429287161478,,290547246726.359,6.5,2.38082507724359,62.8237685119525,
JP,Japan,2018,,3.51661817468288,16.0713191758764,18.3149455985223,,0.501685482403774,5040880939324.86,0.643391023533141,18.2949862035848,0.989094598021848,110.42317934106,,,1270467038786.78,2.467,5.04088093932486,36.6099318021071,
JP,Japan,2019,,3.45076611445327,16.4238978704123,17.4635264275221,,0.780785313301259,5117993853016.51,-0.402169200894946,17.7528916808924,0.46877615938395,109.009665900863,,,1322443255598.64,2.351,5.11799385301651,35.2164181084145,
JP,Japan,2020,,2.96847858242383,23.6059009054084,15.5331828643222,,1.23830386396694,5054068005376.28,-4.16876457146743,15.8020257724508,-0.024995834027731,106.774582262437,,,1390808939303.36,2.809,5.05406800537628,31.335208636773,
JP,Japan,2021,,3.89996604353178,21.6186499931383,18.1091919388618,,0.695100892094565,5039148168861.22,2.69657404187188,18.629254289208,-0.233352779398264,109.754323839417,,,1405748991418.92,2.808,5.03914816886122,36.738446228069805,
JP,Japan,2022,,2.11637961936876,20.9311943137094,21.5464241239166,,1.12971840820326,4262463317796.53,0.941998775483285,25.2665627129772,2.49770278172255,131.498140443764,,,1227573263129.26,2.614,4.26246331779653,46.8129868368938,
